Context;Reference;it
Report;!=;!=
Report;# of % selected;# selezionati su %
Report;(filtered from _MAX_);(filtrato da _MAX_)
Report;<;<
Report;<=;<=
Report;=;=
Report;>;>
Report;>=;>=
Report;A value is required for;È richiesto un valore per
Report;All;Tutti
Report;All selected;Seleziona tutto
Report;and;e
Report;Auto Fit columns;Adatta automaticamente le colonne
Report;Auto Scroll enabled;Scorrimento automatico attivato
Report;Average of;Media di
Report;Back to top;Torna su
Report;Between;Tra
Report;Cancel;Annulla
Report;Cancelling report...;Cancellazione...
Report;Charts;Grafici
Report;Clear selection;Cancella selezione
Report;Close;Chiudi
Report;Contains;Contiene
Report;Contains all;Contiene tutti
Report;Contains any;Contiene uno qualsiasi
Report;Count Distinct of;Conteggio distinto di
Report;Count of;Conteggio di
Report;Decrement;Decrementa
Report;Description;Descrizione
Report;Display header footer;Mostra intestazione piè di pagina
Report;Display: Execution messages;Mostra: Messaggi di esecuzione
Report;Display: Execution messages;Mostra: Messaggi di esecuzione
Report;Display: Information messages;Mostra: Messaggi informativi
Report;Display: Information messages;Mostra: Messaggi informativi
Report;Does not contain;Non contiene
Report;Does not contain all;Non contiene tutti
Report;Does not contain any;Non contiene nessuno
Report;Drill <;Navigation <
Report;Drill >;Navigation >
Report;Duration;Durata
Report;Duration (seconds);Durata
Report;Email sent to '{0}';Email inviata a '{0}'
Report;Ends with;Finisce con
Report;Equals;Uguale a
Report;Execute;Esegui
Report;Executing report...;Esecuzione...
Report;Execution date;Data di esecuzione
Report;Execution duration;Durata esecuzione
Report;execution messages;informazioni di esecuzione
Report;Export messages...;Esporta messaggi...
Report;Filter:;Filtro:
Report;Go to today;Vai a oggi
Report;Goal;Obiettivo
Report;Hide;Nascondi
Report;HTML Print: Show messages;Stampa HTML: Mostra messaggi
Report;HTML Print: Show messages;Stampa HTML: Mostra messaggi
Report;HTML Print: Show report information;Stampa HTML: Mostra informazioni report
Report;HTML Print: Show report information;Stampa HTML: Mostra informazioni report
Report;HTML to PDF;HTML in PDF
Report;Increment;Incrementa
Report;Information;Informazioni
Report;Information panel enabled;Pannello informazioni attivato
Report;Information panel enabled and shown;Pannello informazioni attivato e mostrato
Report;Information panel hidden;Pannello informazioni nascosto
Report;Invalid date;Data non valida
Report;Invalid numeric value;Valore numerico non corretto
Report;Is between;È compreso tra
Report;Is Blank;È vuoto
Report;Is different from;È diverso da
Report;Is empty;È vuoto
Report;Is greater or equal than;È maggiore o uguale a
Report;Is greater than;È maggiore di
Report;Is not between;Non è compreso tra
Report;Is Not Blank;Non è vuoto
Report;Is not empty;Non è vuoto
Report;Is not Null;Non è Null
Report;Is Null;È Null
Report;Is smaller or equal than;È minore o uguale a
Report;Is smaller than;È minore di
Report;Landscape;Orizzontale
Report;Logs;Log
Report;Maximum of;Massimo di
Report;Messages;Messaggi
Report;Messages panel enabled;Pannello messaggi attivato
Report;Messages panel enabled and shown;Pannello messaggi attivato e mostrato
Report;Messages panel enabled and shown only during execution;Pannello messaggi attivato e mostrato solo durante l'esecuzione
Report;Messages panel hidden;Pannello messaggi nascosto
Report;Minimum of;Minimo di 
Report;Model;Modello
Report;Model loaded...;Modello caricato...
Report;Models loaded...;Modelli caricati...
Report;New report;Nuovo report
Report;Next Century;Secolo successivo
Report;Next Decade;Decennio successivo
Report;Next Month;Mese successivo
Report;Next Year;Anno successivo
Report;No;No
Report;No records;Nessun record
Report;No records. The report output generation has been cancelled.;Nessun record. La generazione del risultato del report è stata annullata.
Report;No reports;Nessun report
Report;No rows;Nessuna riga
Report;Not Between;Non compreso
Report;Not Contains;Non contiene
Report;Now;Ora
Report;Options;Opzioni
Report;or;o
Report;Page;Pagina
Report;"Page &p; of &P;";"Pagina &p; de &P;"
Report;Page orientation;Orientamento pagina
Report;Page size;Dimensione pagina
Report;Pages;Pagine
Report;Pick Hour;Scegli ora
Report;Pick Minute;Scegli minuto
Report;Pick Second;Scegli secondo
Report;Please enter a value;Inserisci un valore
Report;Please enter at least a value;Inserisci almeno un valore
Report;Please find the report '{0}' in attachment.;Trova il report '{0}' in allegato.
Report;Please find your authentication code;Trova il tuo codice di autenticazione
Report;Please wait, the report result is being generated in another window;Attendere, il risultato del report è in fase di generazione in un'altra finestra
Report;Previous Century;Secolo precedente
Report;Previous Decade;Decennio precedente
Report;Previous Month;Mese precedente
Report;Previous Year;Anno precedente
