Context;Reference;it
Report;Print: Page orientation;Stampa: Orientamento pagina
Report;Print: Show logo;Stampa: Mostra logo
Report;Processing;Processamento
Report;Processing...;In corso
Report;Records;Registra
Report;Refresh;Aggiorna
Report;Report;Report
Report;Report description;Descrizione del report
Report;Report has been cancelled;Il report è stato annullato
Report;report information;informazioni
Report;report restrictions;restrizioni report
Report;Report result generated in '{0}';Il risultato del report è stato generato in '{0}'
Report;Report result options;Opzioni del risultato del report
Report;report result panel;pannello risultati report
Report;Report summary;Riepilogo del report
Report;Restrictions;Restrizioni
Report;Results;Risultati
Report;Scale;Scala
Report;second;secondo
Report;seconds;secondi
Report;Select all;Seleziona tutto
Report;Select Decade;Seleziona decennio
Report;Select Month;Seleziona mese
Report;Select Time;Seleziona ora
Report;Select Year;Seleziona anno
Report;Show;Mostra
Report;Show _MENU_ reports;Mostra il _MENU_ reports
Report;Show _MENU_ rows;Mostra _MENU_ righe
Report;Show messages;Mostra messaggi
Report;Show messages;Mostra messaggi
Report;Show report information;Mostra informazioni report
Report;Show report information;Mostra informazioni report
Report;Show/Hide Restrictions;Mostra/Nascondi restrizioni
Report;Showing _START_ to _END_ of _TOTAL_;Mostra _START_ alla _END_ del _TOTAL_
Report;Showing 0 to 0 of 0;Mostra 0 a 0 di 0
Report;Starting execution...;Esecuzione...
Report;Starts with;Inizia con
Report;Subtotal;Subtotale
Report;Sum of;Somma di
Report;Summary;Riepilogo
Report;Table of Contents;Indice
Report;Tabs to show;Schede da mostrare
Report;Task executed...;Attività eseguita...
Report;Tasks executed...;Attività eseguite...
Report;The report has been generated.;Il report è stato generato
Report;This report has execution errors. Please check details in the Logs Files...;Questo report contiene errori di esecuzione. Controlla i dettagli nei file di log...
Report;ThisHour;QuestaOra
Report;ThisMinute;QuestoMinuto
Report;ThisMonth;QuestoMese
Report;ThisQuarter;QuestoTrimestre
Report;ThisSemester;QuestoSemestre
Report;ThisWeek;QuestaSettimana
Report;ThisYear;QuestoAnno
Report;Today;Oggi
Report;Toggle Period;Cambia periodo
Report;Total;Totale
Report;Use the date format '{0}' or one of the following keywords:;Usa il formato data '{0}' in uno dei seguenti formati
Report;View;Visualizza
Report;View CSV Result;Vedi il risultato CSV
Report;View Excel Converter Result;Visualizza risultato Excel Converter
Report;View Excel Result;Vedi il risultato Excel
Report;View HTML Print Result;Visualizza risultato Stampa HTML
Report;View HTML Result;Vedi il risulato HTML
Report;View HTML to PDF Result;Visualizza risultato HTML in PDF
Report;View Json Result;Visualizza risultato Json
Report;View PDF Converter Result;Visualizza risultato PDF Converter
Report;View PDF Result;Vedi il risultato PDF
Report;View report result file;Visualizza il file del risultato del report
Report;View Text Result;Visualizza risultato Testo
Report;View XML Result;Visualizza risultato XML
Report;Warning: The maximum number of records is reached;Avviso: è stato raggiunto il numero massimo di record
Report;Yes;Sì
Web;Add;Aggiungi
Web;All;Tutti
Web;Auto-Refresh (seconds);Aggiornamento automatico (secondi)
Web;Back to login with user name and password;Torna al login con nome utente e password
Web;BIN;Cestino
Web;Cancel;Annulla
Web;Change password;Cambia password
Web;Change password;Cambia password
Web;Change your password;Cambia la tua password
Web;Chart sort;Ordinamento grafico
Web;Close;Chiuso
Web;Color;Colore
Web;Confirm your new password;Conferma la tua nuova password
Web;Copy;Copia
Web;Create in folder;Crea nella cartella
Web;Create new folder;Crea nuova cartella
Web;CSS Format;Formato CSS
Web;Culture;Lingua
Web;Current password;Password attuale
Web;Cut;Taglia
Web;Data source connections;Connessioni origine dati
Web;Default view;Vista predefinita
Web;Delete;Elimina
Web;Delete folder;Elimina cartella
Web;Description;Descrizione
Web;Device;Dispositivo
Web;Disconnect;Disconnetti
Web;Display options;Opzioni di visualizzazione
Web;Edit;Modifica
Web;Edit entry;Modifica voce
Web;Edition;Edizione
Web;Email;Email
Web;Enter password;Inserisci password
Web;Enter user name;Inserisci nome utente
Web;Enter your current password;Inserisci la tua password attuale
Web;Enter your new file name;Inserisci il tuo nuovo nome file
Web;Enter your new password;Inserisci la tua nuova password
Web;Enter your security code;Inserisci il tuo codice di sicurezza
Web;Enter your user identifier or email;Inserisci il tuo identificativo utente o email
Web;Error;Errore
Web;Error: only files (and not reports) can be copied to this folder.;Errore: solo i file (e non i report) possono essere copiati in questa cartella.
Web;Error: the destination file name contains invalid characters.;Errore: il nome del file di destinazione contiene caratteri non validi.
Web;Error: the destination folder name contains invalid characters.;Errore: il nome della cartella di destinazione contiene caratteri non validi.
Web;Export;Esporta
Web;Folders;Cartelle
Web;Forget your password ?;Hai dimenticato la password ?
Web;Groups;Gruppi
Web;Groups;Gruppi
Web;Height;Altezza
Web;Icon;Icona
Web;Information;Informazioni
Web;Invalid security code;Codice di sicurezza non valido
Web;Invalid user name or password;Nome utente o password non validi
Web;Is dynamic;È dinamico
Web;Last execution at;Ultima esecuzione il
Web;Licensed to;Concesso in licenza a
Web;Login;Login
Web;Logins;Accessi
Web;Logout;Uscita
Web;Logout the user;Uscita utente
Web;Manage Folders;Gestisci cartelle
Web;Name;Nome
Web;New;Nuovo
Web;New folder name;Nome nuova cartella
Web;New folder path;Percorso nuova cartella
Web;New password;Nuova password
Web;None;Nessuno
Web;OK;OK
Web;On startup;All'avvio
Web;Optional chart title;Titolo grafico opzionale
Web;Optional menu name;Nome menu opzionale
Web;Output;Output
Web;Password;Password
Web;Paste;Incolla
Web;PDF Conversion delay;Ritardo conversione PDF
Web;Personal;Personale
Web;Phone;Telefono
Web;Please wait;Attendere prego
Web;Profile;Profilo
Web;Profile information;Informazioni profilo
Web;Refresh;Aggiorna
Web;Re-init your password;Reimposta la tua password
Web;Reload and execute;Ricarica ed esegui
Web;Rename;Rinomina
Web;Rename or move folder;Rinomina o sposta cartella
Web;Rename, move or copy;Rinomina, sposta o copia
Web;Report;Report
Web;Report execution mode;Modalità di esecuzione del report
Web;Report name;Nome del report
Web;Report title;Titolo del report
Web;Report title if different from report name;Titolo del report se diverso dal nome del report
Web;Reports;Reports
Web;Reports menu;Menu report
Web;Repository connection;Connessione repository
Web;Reset password;Reimposta password
Web;Reset your password;Reimposta la tua password
Web;Save;Salva
Web;Search;Cerca
Web;Security code;Codice di sicurezza
Web;Startup report name;Nome del report di avvio
Web;The favorite has been updated;Il preferito è stato aggiornato
Web;Two-Factor Authentication;Autenticazione a due fattori
Web;Type;Tipo
Web;Type a new password;Digita una nuova password
Web;Upload;Carica
Web;User groups;Gruppi utenti
Web;User identifier or email;Identificativo utente o email
Web;User name;Nome utente
Web;Users;Utenti
Web;Width;Larghezza
WebJS;# of % selected;# selezionati su %
WebJS;Actions;Azioni
WebJS;All selected;Seleziona tutto
WebJS;Allow only execution in a new window;Consenti solo l'esecuzione in una nuova finestra
WebJS;Cancel;Annulla
WebJS;Contains;Contiene
WebJS;Contains all;Contiene tutti
WebJS;Contains any;Contiene uno qualsiasi
WebJS;Copy;Copia
WebJS;Copy of;Copia di
WebJS;Copy to;Copia in
WebJS;Default;Predefinito
WebJS;Default culture;Lingua predefinita
WebJS;Default mode;Modalità predefinita
WebJS;Default report connection;Connessione report predefinita
WebJS;Default repository connection;Connessione repository predefinita
WebJS;Default startup;Avvio predefinito
WebJS;Do not execute report;Non eseguire il report
WebJS;Do you really want to delete the reports or files selected ?;Vuoi davvero eliminare i report o i file selezionati ?
WebJS;Does not contain;Non contiene
WebJS;Does not contain all;Non contiene tutti
WebJS;Does not contain any;Non contiene nessuno
WebJS;Download report;Scarica report
WebJS;Edit report;Modifica report
WebJS;Edit reports / Manage files;Modifica report / Gestisci file
WebJS;Edit schedules / View files;Modifica pianificazioni / Visualizza file
WebJS;Ends with;Termina con
WebJS;Equals;Uguale a
WebJS;Error;Errore
WebJS;Execute report in a new window;Esegui il report in una nuova finestra
WebJS;Execute report in the current window;Esegui il report nella finestra corrente
WebJS;Execute reports / View files;Esegui report / Visualizza file
WebJS;Execute reports and outputs / View files;Esegui report e output / Visualizza file
WebJS;Execute the last report;Esegui l'ultimo report
WebJS;Execute the report;Esegui il report
WebJS;Favorites;Preferiti
WebJS;Folder;Repertorio
WebJS;Is between;È compreso tra
WebJS;Is different from;È diverso da
WebJS;Is empty;È vuoto
WebJS;Is greater or equal than;È maggiore o uguale a
WebJS;Is greater than;È maggiore di
WebJS;Is not between;Non è compreso tra
WebJS;Is not empty;Non è vuoto
WebJS;Is not Null;Non è Null
WebJS;Is Null;È Null
WebJS;Is smaller or equal than;È minore o uguale a
WebJS;Is smaller than;È minore di
WebJS;Last modification;Ultima modifica
WebJS;Mark as favorite;Segna come preferito
WebJS;Model;Modello
WebJS;No;No
WebJS;No personal folder;Nessuna cartella personale
WebJS;No right;Nessun permesso
WebJS;None;Nessuno
WebJS;Not sorted;Non ordinato
WebJS;OK;OK
WebJS;Options;Opzioni
WebJS;Output;Output
WebJS;Personal folder for files only;Cartella personale solo per file
WebJS;Personal folder for reports and files;Cartella personale per report e file
WebJS;Please wait;Attendere prego
WebJS;Processing;Elaborazione
WebJS;Profile;Profilo
WebJS;Recents;Recenti
WebJS;Report;Report
WebJS;report(s) or file(s) cut in the clipboard;report o file tagliati negli appunti
WebJS;report(s) or file(s) have been deleted;report o file sono stati eliminati
WebJS;report(s) or file(s) processed;report o file elaborati
WebJS;report(s) or files(s) copied in the clipboard;report o file copiati negli appunti
WebJS;Reports;Report
WebJS;Schedule;Pianificazione
WebJS;Server Version;Versione server
WebJS;Show _MENU_ reports;Mostra il _MENU_ reports
WebJS;Starts with;Inizia con
WebJS;The folder has been created;La cartella è stata creata
WebJS;The folder has been deleted;La cartella è stata eliminata
WebJS;The folder has been renamed;La cartella è stata rinominata
WebJS;The folder has been updated;La cartella è stata aggiornata
WebJS;The report or file has been renamed;Il report o il file è stato rinominato
WebJS;Toggle Report or Folders view;Cambia vista Report o Cartelle
WebJS;Unexpected error on server;Errore imprevisto sul server
WebJS;View;Visualizza
WebJS;View Folders;Visualizza cartelle
WebJS;View Report;Visualizza report
WebJS;View reports;Visualizza report
WebJS;Views and outputs;Viste e output
WebJS;Warning;Avviso
WebJS;Web Interface Version;Versione interfaccia web
WebJS;Yes;Sì
Web;Select agent;Seleziona assistente
Web;Mark as favorite;Segna come preferito
Web;Favorites;Preferiti
Web;No favorites yet;Ancora nessun preferito
Web;Recent;Recenti
Web;No recent items;Nessun elemento recente
Web;New conversation;Nuova conversazione
Web;Sample prompts;Prompt di esempio
Web;Sample Prompts;Prompt di esempio
Web;No sample prompts defined;Nessun prompt di esempio definito
Web;AI Agent;Assistente IA
Web;Favorites & Recent;Preferiti e recenti
Web;Hide panel;Nascondi pannello
Web;Ask the AI agent…;Chiedi all'assistente IA…
Web;Confirm Deletion;Conferma eliminazione
Web;This action is irreversible. Are you sure you want to delete this item?;Questa azione è irreversibile. Sei sicuro di voler eliminare questo elemento?
Web;Data Source;Origine dati
Web;Report Agents;Assistenti report
Web;Select Tables or Views;Seleziona tabelle o viste
Web;Filter tables...;Filtra tabelle...
Web;Select All;Seleziona tutto
Web;Deselect All;Deseleziona tutto
Web;tables selected;tabelle selezionate
Web;Prompt Shortcuts;Scorciatoie prompt
Web;How can Seal AI help you today ?;Come può aiutarti Seal AI oggi ?
Web;No current items available;Nessun elemento corrente disponibile
Web;Current items will appear here when saved;Gli elementi correnti appariranno qui quando salvati
Web;Drafts;Bozze
Web;No draft items available;Nessuna bozza disponibile
Web;Upload files or create new items with the agent to see them here;Carica file o crea nuovi elementi con l'assistente per vederli qui
Web;Item Details;Dettagli elemento
Web;Loading detail. Please wait...;Caricamento dei dettagli. Attendere...
Web;Select a row from the table to view its details;Seleziona una riga dalla tabella per visualizzarne i dettagli
Web;Check;Controlla
Web;Download;Scarica
Web;Reports Agent;Assistente report
Web;Connection type;Tipo di connessione
Web;Connection string;Stringa di connessione
Web;Tables or views;Tabelle o viste
Web;Report Agent;Assistente report
Web;AI Provider;Provider IA
Web;AI model;Modello IA
Web;AI model name (overrides default));Nome del modello IA (sostituisce il valore predefinito))
Web;Temperature;Temperatura
Web;Model temperature;Temperatura del modello
Web;System prompt;Prompt di sistema
Web;Optional sytem prompt for the agent;Prompt di sistema opzionale per l'assistente
Web;User prompt;Prompt utente
Web;Default user prompts (if empty default values configured are taken);Prompt utente predefiniti (se vuoto vengono usati i valori predefiniti configurati)
Web;User Groups allowed (No selection means no restriction);Gruppi utente consentiti (nessuna selezione significa nessuna restrizione)
Web;Scan options;Opzioni di scansione
Web;When to scan;Quando scansionare
Web;Cache duration (days);Durata cache (giorni)
Web;Cache duration (days) for scanned data;Durata cache (giorni) per i dati scansionati
Web;Tables to scan (no selection means all tables);Tabelle da scansionare (nessuna selezione significa tutte le tabelle)
Web;Records to scan;Record da scansionare
Web;Number of records used for scan;Numero di record usati per la scansione
Web;Scan Data Now;Scansiona dati ora
Web;Execute;Esegui
Web;Elements:;Elementi:
Web;Restrictions:;Restrizioni:
WebJS;Hide AI Agent;Nascondi assistente IA
WebJS;AI Agent;Assistente IA
WebJS;Running;In esecuzione
WebJS;Request cancelled.;Richiesta annullata.
WebJS;Remove from favorites;Rimuovi dai preferiti
WebJS;No sample prompts defined;Nessun prompt di esempio definito
WebJS;Rename;Rinomina
WebJS;Delete;Elimina
WebJS;No favorites yet;Ancora nessun preferito
WebJS;No recent items;Nessun elemento recente
Web;Configuration;Configurazione
Web;Rights;Diritti
Web;Agents;Assistenti
Web;Folder;Repertorio
Web;Drag to resize;Trascina per ridimensionare
WebJS;Copy and paste;Copia e incolla
WebJS;Copy, paste and send;Copia, incolla e invia
Web;Empty recycle bin;Svuota il cestino
WebJS;Do you really want to permanently delete all items in the recycle bin ?;Vuoi davvero eliminare definitivamente tutti gli elementi nel cestino?
WebJS;The recycle bin has been emptied;Il cestino è stato svuotato
WebJS;Task: only the tasks are executed;Attività: vengono eseguite solo le attività
WebJS;This report has a schedule;Questo report ha una pianificazione
Report;Show/Hide Guide;Mostra/Nascondi guida
Report;Show Restrictions;Mostra restrizioni
Report;Hide Restrictions;Nascondi restrizioni
Report;Show Guide;Mostra guida
Report;Hide Guide;Nascondi guida
WebJS;Copy for Excel;Copia per Excel
WebJS;Download CSV;Scarica CSV
