Context;Instance;Reference;ar;es;it;nb;pl;pt;ru;zh;en;fr
FolderName;"\Samples";"\Samples";;;;;;;;;;
FolderName;"\Samples\01-Tasks";"01-Tasks";;;;;;;;;;
FolderName;"\Samples\01-Tasks";"\Samples\01-Tasks";;;;;;;;;;
FolderName;"\Samples\02-LINQ";"02-LINQ";;;;;;;;;;
FolderName;"\Samples\02-LINQ";"\Samples\02-LINQ";;;;;;;;;;
FolderName;"\Samples\03-Input Values";"03-Input Values";;;;;;;;;;
FolderName;"\Samples\03-Input Values";"\Samples\03-Input Values";;;;;;;;;;
FolderName;"\Samples\04-MS SQLServer";"04-MS SQLServer";;;;;;;;;;
FolderName;"\Samples\04-MS SQLServer";"\Samples\04-MS SQLServer";;;;;;;;;;
FolderName;"\Samples\05-Scripts";"05-Scripts";;;;;;;;;;
FolderName;"\Samples\05-Scripts";"\Samples\05-Scripts";;;;;;;;;;
FolderName;"\Samples\06-ETL Tasks";"06-ETL Tasks";;;;;;;;;;
FolderName;"\Samples\06-ETL Tasks";"\Samples\06-ETL Tasks";;;;;;;;;;
FolderName;"\System";"System";;;;;;;;;;
FolderName;"\System";"\System";;;;;;;;;;
FolderName;"\work";"work";;;;;;;;;;
FolderName;"\work";"\work";;;;;;;;;;
FolderName;"\work\6.0";"6.0";;;;;;;;;;
FolderName;"\work\6.0";"\work\6.0";;;;;;;;;;
FolderName;"\work\6.0\bonhote";"bonhote";;;;;;;;;;
FolderName;"\work\6.0\bonhote";"\work\6.0\bonhote";;;;;;;;;;
FolderName;"\work\6.0\bug";"bug";;;;;;;;;;
FolderName;"\work\6.0\bug";"\work\6.0\bug";;;;;;;;;;
FolderName;"\work\6.0\bug\_..OLD45&lt";"_..OLD45&lt";;;;;;;;;;
FolderName;"\work\6.0\bug\_..OLD45&lt";"\work\6.0\bug\_..OLD45&lt";;;;;;;;;;
FolderName;"\work\6.0\bug3";"bug3";;;;;;;;;;
FolderName;"\work\6.0\bug3";"\work\6.0\bug3";;;;;;;;;;
FolderName;"\work\6.0\covid";"covid";;;;;;;;;;
FolderName;"\work\6.0\covid";"\work\6.0\covid";;;;;;;;;;
FolderName;"\work\6.0\nosql";"nosql";;;;;;;;;;
FolderName;"\work\6.0\nosql";"\work\6.0\nosql";;;;;;;;;;
FolderName;"\work\6.0\popol";"popol";;;;;;;;;;
FolderName;"\work\6.0\popol";"\work\6.0\popol";;;;;;;;;;
FolderName;"\work\6.0\restr";"restr";;;;;;;;;;
FolderName;"\work\6.0\restr";"\work\6.0\restr";;;;;;;;;;
FolderName;"\work\6.0\sched";"sched";;;;;;;;;;
FolderName;"\work\6.0\sched";"\work\6.0\sched";;;;;;;;;;
FolderName;"\work\output";"output";;;;;;;;;;
FolderName;"\work\output";"\work\output";;;;;;;;;;
FolderName;"\work\Table Editor";"Table Editor";;;;;;;;;;
FolderName;"\work\Table Editor";"\work\Table Editor";;;;;;;;;;
FolderName;"\work\_old";"_old";;;;;;;;;;
FolderName;"\work\_old";"\work\_old";;;;;;;;;;
FileName;"\Samples\01-Simple list (Products).srex";"01-Simple list (Products)";;;;;;;;;;
FileName;"\Samples\02-Restrictions (Orders).srex";"02-Restrictions (Orders)";;;;;;;;;;
FileName;"\Samples\03-Cross tab - Model layouts.srex";"03-Cross tab - Model layouts";;;;;;;;;;
FileName;"\Samples\04-Charts Gallery - Basics.srex";"04-Charts Gallery - Basics";;;;;;;;;;
FileName;"\Samples\04-Charts Gallery - Chart JS Labels.srex";"04-Charts Gallery - Chart JS Labels";;;;;;;;;;
FileName;"\Samples\05-Charts Gallery - Advanced.srex";"05-Charts Gallery - Advanced";;;;;;;;;;
FileName;"\Samples\05-Gauges.srex";"05-Gauges";;;;;;;;;;
FileName;"\Samples\06-Datatables - Fixed Header.srex";"06-Datatables - Fixed Header";;;;;;;;;;
FileName;"\Samples\06-Datatables - Scroll and Fixed Columns.srex";"06-Datatables - Scroll and Fixed Columns";;;;;;;;;;
FileName;"\Samples\06-Datatables - Scroller.srex";"06-Datatables - Scroller";;;;;;;;;;
FileName;"\Samples\07-Outputs and schedules.srex";"07-Outputs and schedules";;;;;;;;;;
FileName;"\Samples\08-SQL Model - Common Restrictions.srex";"08-SQL Model - Common Restrictions";;;;;;;;;;
FileName;"\Samples\09-Enumerated List - Dynamic Display.srex";"09-Enumerated List - Dynamic Display";;;;;;;;;;
FileName;"\Samples\10-Container - Grid Layout.srex";"10-Container - Grid Layout";;;;;;;;;;
FileName;"\Samples\11-Tab Control - Model Layout.srex";"11-Tab Control - Model Layout";;;;;;;;;;
FileName;"\Samples\12-Pareto Graph.srex";"12-Pareto Graph";;;;;;;;;;
FileName;"\Samples\13-Sales comparison per month.srex";"13-Sales comparison per month";;;;;;;;;;
FileName;"\Samples\20-KPI.srex";"20-KPI";;;;;;;;;;
FileName;"\Samples\30-Restrictions layout and options.srex";"30-Restrictions layout and options";;;;;;;;;;
FileName;"\Samples\31-Restrictions Views.srex";"31-Restrictions Views";;;;;;;;;;
FileName;"\Samples\40-Startup Report.srex";"40-Startup Report";;;;;;;;;;
FileName;"\Samples\41-Startup Folder.srex";"41-Startup Folder";;;;;;;;;;
FileName;"\Samples\01-Tasks\101-Task Refresh Enumerated Lists.srex";"101-Task Refresh Enumerated Lists";;;;;;;;;;
FileName;"\Samples\01-Tasks\102-Task Generate several Report Results.srex";"102-Task Generate several Report Results";;;;;;;;;;
FileName;"\Samples\01-Tasks\103-Task Update Navigation Link Text.srex";"103-Task Update Navigation Link Text";;;;;;;;;;
FileName;"\Samples\01-Tasks\104-Task Add borders to result tables.srex";"104-Task Add borders to result tables";;;;;;;;;;
FileName;"\Samples\02-LINQ\200-LINQ Source - Excel and CSV Sources.srex";"200-LINQ Source - Excel and CSV Sources";;;;;;;;;;
FileName;"\Samples\02-LINQ\201-LINQ Samples CSV-Excel-JSON-XML.srex";"201-LINQ Samples CSV-Excel-JSON-XML";;;;;;;;;;
FileName;"\Samples\02-LINQ\202-LINQ Source - File Download.srex";"202-LINQ Source - File Download";;;;;;;;;;
FileName;"\Samples\02-LINQ\203-LINQ Sample- MDX OLAP.srex";"203-LINQ Sample- MDX OLAP";;;;;;;;;;
FileName;"\Samples\02-LINQ\210-Enumerated List LINQ - Dynamic Display.srex";"210-Enumerated List LINQ - Dynamic Display";;;;;;;;;;
FileName;"\Samples\02-LINQ\220-Mongo DB - Customer sales per year.srex";"220-Mongo DB - Customer sales per year";;;;;;;;;;
FileName;"\Samples\02-LINQ\221-Mongo DB - Customer sales detail.srex";"221-Mongo DB - Customer sales detail";;;;;;;;;;
FileName;"\Samples\02-LINQ\222-Mongo DB - Movies search.srex";"222-Mongo DB - Movies search";;;;;;;;;;
FileName;"\Samples\02-LINQ\223-Mongo DB - Movies - Northwind.srex";"223-Mongo DB - Movies - Northwind";;;;;;;;;;
FileName;"\Samples\03-Input Values\300-Input Values - Connection and threshold.srex";"300-Input Values - Connection and threshold";;;;;;;;;;
FileName;"\Samples\03-Input Values\301-Input Values - Columns to display and Factor.srex";"301-Input Values - Columns to display and Factor";;;;;;;;;;
FileName;"\Samples\03-Input Values\302-Input Values - Select view to execute.srex";"302-Input Values - Select view to execute";;;;;;;;;;
FileName;"\Samples\04-MS SQLServer\400-SQL Server Temp Tables.srex";"400-SQL Server Temp Tables";;;;;;;;;;
FileName;"\Samples\04-MS SQLServer\401-SQL Server Stored Procedure with parameters.srex";"401-SQL Server Stored Procedure with parameters";;;;;;;;;;
FileName;"\Samples\04-MS SQLServer\405-Task Backup SQLServer Database.srex";"405-Task Backup SQLServer Database";;;;;;;;;;
FileName;"\Samples\04-MS SQLServer\406-Task Load Excel and CSV Table in SQLServer Database.srex";"406-Task Load Excel and CSV Table in SQLServer Database";;;;;;;;;;
FileName;"\Samples\04-MS SQLServer\407-Task Load Table in SQLServer Database.srex";"407-Task Load Table in SQLServer Database";;;;;;;;;;
FileName;"\Samples\05-Scripts\500-Images - File Download.srex";"500-Images - File Download";;;;;;;;;;
FileName;"\Samples\05-Scripts\501-Cell Script - Progression and running totals.srex";"501-Cell Script - Progression and running totals";;;;;;;;;;
FileName;"\Samples\05-Scripts\502-Init Script - Set default restriction values.srex";"502-Init Script - Set default restriction values";;;;;;;;;;
FileName;"\Samples\05-Scripts\503-Final Script - Change result table.srex";"503-Final Script - Change result table";;;;;;;;;;
FileName;"\Samples\05-Scripts\504-Navigation - Execute reports from a report.srex";"504-Navigation - Execute reports from a report";;;;;;;;;;
FileName;"\Samples\05-Scripts\505-Navigation - Custom buttons and report execution.srex";"505-Navigation - Custom buttons and report execution";;;;;;;;;;
FileName;"\Samples\05-Scripts\506-Navigation - File and  fields Upload.srex";"506-Navigation - File and  fields Upload";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\601-Load Excel Files.srex";"601-Load Excel Files";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\602-Load CSV Files.srex";"602-Load CSV Files";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\603-Execute Reports.srex";"603-Execute Reports";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\604-Copy Tables from a Database.srex";"604-Copy Tables from a Database";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\605-Unzip Files.srex";"605-Unzip Files";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\606-Load XML File.srex";"606-Load XML File";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\610-Download Zip from FTP, Unzip and Load tables from Excel.srex";"610-Download Zip from FTP, Unzip and Load tables from Excel";;;;;;;;;;
FileName;"\Samples\06-ETL Tasks\611-Generate Report Results, Zip and Upload to FTP Server.srex";"611-Generate Report Results, Zip and Upload to FTP Server";;;;;;;;;;
FileName;"\System\010 System Dashboard.srex";"010 System Dashboard";;;;;;;;;;
FileName;"\System\100 Configuration - Security Summary.srex";"100 Configuration - Security Summary";;;;;;;;;;
FileName;"\System\110 Configuration - List of Windows Groups and Users.srex";"110 Configuration - List of Windows Groups and Users";;;;;;;;;;
FileName;"\System\200 Audit - Search.srex";"200 Audit - Search";;;;;;;;;;
FileName;"\System\210 Audit - Last Errors.srex";"210 Audit - Last Errors";;;;;;;;;;
FileName;"\System\220 Audit - Login Failures.srex";"220 Audit - Login Failures";;;;;;;;;;
FileName;"\System\250 Audit - Users Activity.srex";"250 Audit - Users Activity";;;;;;;;;;
FileName;"\System\300 Reports - Inventory.srex";"300 Reports - Inventory";;;;;;;;;;
FileName;"\System\310 Reports - Check Executions.srex";"310 Reports - Check Executions";;;;;;;;;;
FileName;"\System\320 Reports - Server Schedule Definitions.srex";"320 Reports - Server Schedule Definitions";;;;;;;;;;
FileName;"\System\350 Reports - Executions.srex";"350 Reports - Executions";;;;;;;;;;
FileName;"\System\400 Sources - Check Sources.srex";"400 Sources - Check Sources";;;;;;;;;;
FileName;"\System\410 Sources - Refresh Enumerated Lists.srex";"410 Sources - Refresh Enumerated Lists";;;;;;;;;;
FileName;"\System\500 Publication - Web Report Server.srex";"500 Publication - Web Report Server";;;;;;;;;;
FileName;"\System\510 Publication - Repository.srex";"510 Publication - Repository";;;;;;;;;;
FileName;"\System\600 System - Repository Size.srex";"600 System - Repository Size";;;;;;;;;;
FileName;"\work\bug align numeric.srex";"bug align numeric";;;;;;;;;;
FileName;"\work\bug horizontal bar.srex";"bug horizontal bar";;;;;;;;;;
FileName;"\work\bug numeric axis.srex";"bug numeric axis";;;;;;;;;;
FileName;"\work\bug prompt is NULL.srex";"bug prompt is NULL";;;;;;;;;;
FileName;"\work\bug scatter.srex";"bug scatter";;;;;;;;;;
FileName;"\work\bug time.srex";"bug time";;;;;;;;;;
FileName;"\work\bug time2.srex";"bug time2";;;;;;;;;;
FileName;"\work\test alignement.srex";"test alignement";;;;;;;;;;
FileName;"\work\test alignement2.srex";"test alignement2";;;;;;;;;;
FileName;"\work\test enum translations.srex";"test enum translations";;;;;;;;;;
FileName;"\work\test notifications.srex";"test notifications";;;;;;;;;;
FileName;"\work\test Row Number.srex";"test Row Number";;;;;;;;;;
FileName;"\work\6.0\a sql &lt.srex";"a sql &lt";;;;;;;;;;
FileName;"\work\6.0\bug accent.srex";"bug accent";;;;;;;;;;
FileName;"\work\6.0\bug Common restriction.srex";"bug Common restriction";;;;;;;;;;
FileName;"\work\6.0\bug email 2 output.srex";"bug email 2 output";;;;;;;;;;
FileName;"\work\6.0\bug join linq.srex";"bug join linq";;;;;;;;;;
FileName;"\work\6.0\bug join linq2.srex";"bug join linq2";;;;;;;;;;
FileName;"\work\6.0\bug join linq3.srex";"bug join linq3";;;;;;;;;;
FileName;"\work\6.0\bug linq alias.srex";"bug linq alias";;;;;;;;;;
FileName;"\work\6.0\bug LINQ.srex";"bug LINQ";;;;;;;;;;
FileName;"\work\6.0\bug linq1.srex";"bug linq1";;;;;;;;;;
FileName;"\work\6.0\bug restr.srex";"bug restr";;;;;;;;;;
FileName;"\work\6.0\bug restr2.srex";"bug restr2";;;;;;;;;;
FileName;"\work\6.0\bug restrictions.srex";"bug restrictions";;;;;;;;;;
FileName;"\work\6.0\force enum.srex";"force enum";;;;;;;;;;
FileName;"\work\6.0\Nouveau rapport.srex";"Nouveau rapport";;;;;;;;;;
FileName;"\work\6.0\plotly.srex";"plotly";;;;;;;;;;
FileName;"\work\6.0\restr widget.srex";"restr widget";;;;;;;;;;
FileName;"\work\6.0\restriction view simple2.srex";"restriction view simple2";;;;;;;;;;
FileName;"\work\6.0\sub report.srex";"sub report";;;;;;;;;;
FileName;"\work\6.0\test chart order.srex";"test chart order";;;;;;;;;;
FileName;"\work\6.0\test chart order.xlsx";"test chart order";;;;;;;;;;
FileName;"\work\6.0\test chart order.zip";"test chart order";;;;;;;;;;
FileName;"\work\6.0\test custom sort.srex";"test custom sort";;;;;;;;;;
FileName;"\work\6.0\test input value.srex";"test input value";;;;;;;;;;
FileName;"\work\6.0\test pivot.srex";"test pivot";;;;;;;;;;
FileName;"\work\6.0\test restriction.srex";"test restriction";;;;;;;;;;
FileName;"\work\6.0\test XSS.srex";"test XSS";;;;;;;;;;
FileName;"\work\6.0\bonhote\MIS2 - Copy (2).srex";"MIS2 - Copy (2)";;;;;;;;;;
FileName;"\work\6.0\bonhote\MIS2 - Copy (3).srex";"MIS2 - Copy (3)";;;;;;;;;;
FileName;"\work\6.0\bonhote\MIS2 - Copy.srex";"MIS2 - Copy";;;;;;;;;;
FileName;"\work\6.0\bonhote\MIS2.srex";"MIS2";;;;;;;;;;
FileName;"\work\6.0\bug\02-Restrictions (Orders)_bug_changeView.srex";"02-Restrictions (Orders)_bug_changeView";;;;;;;;;;
FileName;"\work\6.0\bug\02-Restrictions (Orders)_bug_changeView2.srex";"02-Restrictions (Orders)_bug_changeView2";;;;;;;;;;
FileName;"\work\6.0\bug\02-Restrictions (Orders)_testSelectAll.srex";"02-Restrictions (Orders)_testSelectAll";;;;;;;;;;
FileName;"\work\6.0\bug\57-Navigation - Custom buttons and report execution.srex";"57-Navigation - Custom buttons and report execution";;;;;;;;;;
FileName;"\work\6.0\bug\bug 156 Basics_issueDecimalChar.srex";"bug 156 Basics_issueDecimalChar";;;;;;;;;;
FileName;"\work\6.0\bug\Restrictions (Orders) 2 prompts.srex";"Restrictions (Orders) 2 prompts";;;;;;;;;;
FileName;"\work\6.0\bug\Restrictions (Orders).srex";"Restrictions (Orders)";;;;;;;;;;
FileName;"\work\6.0\bug\testInvertTableOption.srex";"testInvertTableOption";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\02-Restrictions (Orders)_NVD3 stacked area error.srex";"02-Restrictions (Orders)_NVD3 stacked area error";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\100 Configuration - Security Summary.html";"100 Configuration - Security Summary";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\a empty.srex";"a empty";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\bug nav.srex";"bug nav";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\bug sort.srex";"bug sort";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Button with action.srex";"Button with action";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Insert audit.srex";"Insert audit";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\New Text Document.srex";"New Text Document";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Nouveau rapport - Copy.srex";"Nouveau rapport - Copy";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Nouveau rapport.srex";"Nouveau rapport";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Nouveau rapport2 - Copy.srex";"Nouveau rapport2 - Copy";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Nouveau rapport2.srex";"Nouveau rapport2";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Nouveau rapport3.srex";"Nouveau rapport3";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restriction view avec update button.srex";"restriction view avec update button";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restriction view date.srex";"restriction view date";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restriction view simple.srex";"restriction view simple";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restriction view simple3.srex";"restriction view simple3";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restriction view.srex";"restriction view";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\restrictions panel.srex";"restrictions panel";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\simple.srex";"simple";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test Charts Gallery - Basics.srex";"test Charts Gallery - Basics";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test model detail.srex";"test model detail";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\Test MS SQL Connection.srex";"Test MS SQL Connection";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test no sql.srex";"test no sql";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test sched.zip";"test sched";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test Search - Orders.srex";"test Search - Orders";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\test.srex";"test";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\TOC PDF.srex";"TOC PDF";;;;;;;;;;
FileName;"\work\6.0\bug\_..OLD45&lt\toc.srex";"toc";;;;;;;;;;
FileName;"\work\6.0\bug3\server pagination.srex";"server pagination";;;;;;;;;;
FileName;"\work\6.0\covid\COVID-16 sample.srex";"COVID-16 sample";;;;;;;;;;
FileName;"\work\6.0\covid\COVID-19 sample_httpclient.srex";"COVID-19 sample_httpclient";;;;;;;;;;
FileName;"\work\6.0\nosql\aggregat.srex";"aggregat";;;;;;;;;;
FileName;"\work\6.0\nosql\common_restrictions.srex";"common_restrictions";;;;;;;;;;
FileName;"\work\6.0\nosql\drill linq.srex";"drill linq";;;;;;;;;;
FileName;"\work\6.0\nosql\drill sql.srex";"drill sql";;;;;;;;;;
FileName;"\work\6.0\nosql\excel.srex";"excel";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql1.srex";"nosql1";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql10.srex";"nosql10";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql11.srex";"nosql11";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql12.srex";"nosql12";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql2.srex";"nosql2";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql3.srex";"nosql3";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql4.srex";"nosql4";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql5.srex";"nosql5";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql6.srex";"nosql6";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql7.srex";"nosql7";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql8.srex";"nosql8";;;;;;;;;;
FileName;"\work\6.0\nosql\nosql9.srex";"nosql9";;;;;;;;;;
FileName;"\work\6.0\nosql\Nouveau rapport.srex";"Nouveau rapport";;;;;;;;;;
FileName;"\work\6.0\nosql\sql.srex";"sql";;;;;;;;;;
FileName;"\work\6.0\nosql\tasks.srex";"tasks";;;;;;;;;;
FileName;"\work\6.0\popol\20-SQL Server Temp Tables.srex";"20-SQL Server Temp Tables";;;;;;;;;;
FileName;"\work\6.0\popol\Nouveau rapport.srex";"Nouveau rapport";;;;;;;;;;
FileName;"\work\6.0\popol\Nouveau rapport2.srex";"Nouveau rapport2";;;;;;;;;;
FileName;"\work\6.0\popol\Nouveau rapport3.srex";"Nouveau rapport3";;;;;;;;;;
FileName;"\work\6.0\popol\Nouveau rapport4.srex";"Nouveau rapport4";;;;;;;;;;
FileName;"\work\6.0\restr\Common Restrictions 2 models.srex";"Common Restrictions 2 models";;;;;;;;;;
FileName;"\work\6.0\restr\enum category.srex";"enum category";;;;;;;;;;
FileName;"\work\6.0\restr\restriction view 2 refs bug init.srex";"restriction view 2 refs bug init";;;;;;;;;;
FileName;"\work\6.0\restr\restriction view 2 refs.srex";"restriction view 2 refs";;;;;;;;;;
FileName;"\work\6.0\restr\test input restrictions.srex";"test input restrictions";;;;;;;;;;
FileName;"\work\6.0\sched\Nouveau rapport.srex";"Nouveau rapport";;;;;;;;;;
FileName;"\work\6.0\sched\Nouveau rapport_pdf_zip.zip";"Nouveau rapport_pdf_zip";;;;;;;;;;
FileName;"\work\6.0\sched\Nouveau rapport_xlsx.xlsx";"Nouveau rapport_xlsx";;;;;;;;;;
FileName;"\work\6.0\sched\output.srex";"output";;;;;;;;;;
FileName;"\work\6.0\sched\test ftps.srex";"test ftps";;;;;;;;;;
FileName;"\work\6.0\sched\test sched.srex";"test sched";;;;;;;;;;
FileName;"\work\6.0\sched\test sched.zip";"test sched";;;;;;;;;;
FileName;"\work\6.0\sched\Test SQL Source - Excel and CSV Sources.srex";"Test SQL Source - Excel and CSV Sources";;;;;;;;;;
FileName;"\work\6.0\sched\Test SQL Source - Excel and CSV Sources.txt";"Test SQL Source - Excel and CSV Sources";;;;;;;;;;
FileName;"\work\output\Overview - Sales.html";"Overview - Sales";;;;;;;;;;
FileName;"\work\output\Search - Orders.html";"Search - Orders";;;;;;;;;;
FileName;"\work\Table Editor\edit inline 2.srex";"edit inline 2";;;;;;;;;;
FileName;"\work\Table Editor\edit inline.srex";"edit inline";;;;;;;;;;
FileName;"\work\Table Editor\edit.srex";"edit";;;;;;;;;;
FileName;"\work\_old\07-Outputs and schedules.srex";"07-Outputs and schedules";;;;;;;;;;
FileName;"\work\_old\add row number column in a pivot table2.srex";"add row number column in a pivot table2";;;;;;;;;;
FileName;"\work\_old\animation.srex";"animation";;;;;;;;;;
FileName;"\work\_old\bug chartjs.srex";"bug chartjs";;;;;;;;;;
FileName;"\work\_old\bug enum.srex";"bug enum";;;;;;;;;;
FileName;"\work\_old\bug error validation.srex";"bug error validation";;;;;;;;;;
FileName;"\work\_old\bug export.srex";"bug export";;;;;;;;;;
FileName;"\work\_old\bug free sql tree view.srex";"bug free sql tree view";;;;;;;;;;
FileName;"\work\_old\bug input.srex";"bug input";;;;;;;;;;
FileName;"\work\_old\bug mongo.srex";"bug mongo";;;;;;;;;;
FileName;"\work\_old\bug nvd3.srex";"bug nvd3";;;;;;;;;;
FileName;"\work\_old\bug refresh free sql.srex";"bug refresh free sql";;;;;;;;;;
FileName;"\work\_old\bug restrictions trigger.srex";"bug restrictions trigger";;;;;;;;;;
FileName;"\work\_old\bug script.srex";"bug script";;;;;;;;;;
FileName;"\work\_old\bug task sql.srex";"bug task sql";;;;;;;;;;
FileName;"\work\_old\Current.srex";"Current";;;;;;;;;;
FileName;"\work\_old\custom plotly label.srex";"custom plotly label";;;;;;;;;;
FileName;"\work\_old\enum par connection dépendances à .srex";"enum par connection dépendances à ";;;;;;;;;;
FileName;"\work\_old\File Upload.srex";"File Upload";;;;;;;;;;
FileName;"\work\_old\force chart colors.srex";"force chart colors";;;;;;;;;;
FileName;"\work\_old\gauge.srex";"gauge";;;;;;;;;;
FileName;"\work\_old\insert table.srex";"insert table";;;;;;;;;;
FileName;"\work\_old\long report.srex";"long report";;;;;;;;;;
FileName;"\work\_old\mongo filter.srex";"mongo filter";;;;;;;;;;
FileName;"\work\_old\mongo.srex";"mongo";;;;;;;;;;
FileName;"\work\_old\mongo2.srex";"mongo2";;;;;;;;;;
FileName;"\work\_old\mongo3.srex";"mongo3";;;;;;;;;;
FileName;"\work\_old\mongo4.srex";"mongo4";;;;;;;;;;
FileName;"\work\_old\mongo5.srex";"mongo5";;;;;;;;;;
FileName;"\work\_old\navigation.srex";"navigation";;;;;;;;;;
FileName;"\work\_old\New report Free SQL.srex";"New report Free SQL";;;;;;;;;;
FileName;"\work\_old\New report2.srex";"New report2";;;;;;;;;;
FileName;"\work\_old\New report3.srex";"New report3";;;;;;;;;;
FileName;"\work\_old\option subtotals.srex";"option subtotals";;;;;;;;;;
FileName;"\work\_old\Overview - Sales Excel.srex";"Overview - Sales Excel";;;;;;;;;;
FileName;"\work\_old\pre load in LINQ.srex";"pre load in LINQ";;;;;;;;;;
FileName;"\work\_old\print layout.srex";"print layout";;;;;;;;;;
FileName;"\work\_old\rapport d'entrée.srex";"rapport d'entrée";;;;;;;;;;
FileName;"\work\_old\sample date.srex";"sample date";;;;;;;;;;
FileName;"\work\_old\Search - Orders2.srex";"Search - Orders2";;;;;;;;;;
FileName;"\work\_old\Search - Orders3.srex";"Search - Orders3";;;;;;;;;;
FileName;"\work\_old\select common value.srex";"select common value";;;;;;;;;;
FileName;"\work\_old\simple drill report.srex";"simple drill report";;;;;;;;;;
FileName;"\work\_old\Table Editor.srex";"Table Editor";;;;;;;;;;
FileName;"\work\_old\test big s2i.srex";"test big s2i";;;;;;;;;;
FileName;"\work\_old\test contains.srex";"test contains";;;;;;;;;;
FileName;"\work\_old\test css.srex";"test css";;;;;;;;;;
FileName;"\work\_old\test encrypt.srex";"test encrypt";;;;;;;;;;
FileName;"\work\_old\test enums.srex";"test enums";;;;;;;;;;
FileName;"\work\_old\test excel.srex";"test excel";;;;;;;;;;
FileName;"\work\_old\test init.srex";"test init";;;;;;;;;;
FileName;"\work\_old\test lock.srex";"test lock";;;;;;;;;;
FileName;"\work\_old\test Oracle.srex";"test Oracle";;;;;;;;;;
FileName;"\work\_old\test planification.srex";"test planification";;;;;;;;;;
FileName;"\work\_old\test powershell.srex";"test powershell";;;;;;;;;;
FileName;"\work\_old\test prompt.srex";"test prompt";;;;;;;;;;
FileName;"\work\_old\test restriction.srex";"test restriction";;;;;;;;;;
FileName;"\work\_old\test sp.srex";"test sp";;;;;;;;;;
FileName;"\work\_old\test subreport.srex";"test subreport";;;;;;;;;;
FileName;"\work\_old\test task.srex";"test task";;;;;;;;;;
FileName;"\work\_old\test traductions designer.srex";"test traductions designer";;;;;;;;;;
FileName;"\work\_old\test where LINQ.srex";"test where LINQ";;;;;;;;;;
FileName;"\work\_old\test-Enumerated List - Dynamic Display.srex";"test-Enumerated List - Dynamic Display";;;;;;;;;;
FileName;"\work\_old\thread cancel.srex";"thread cancel";;;;;;;;;;
FileName;"\work\_old\widget1.srex";"widget1";;;;;;;;;;
ReportDisplayName;"\Overview - Sales.srex";"Vue d'ensemble - Ventes";;;;;;;;;;
ReportViewName;"\Overview - Sales.srex";"Overview";;;;;;;;;;
ReportViewName;"\Overview - Sales.srex";"Tab Control View";;;;;;;;;;
ReportViewName;"\Overview - Sales.srex";"Container View";;;;;;;;;;
