Context;Instance;Reference;en;fr;it;pt;nb
FolderName;"\Samples";"Samples";;;;;
FolderPath;"\Samples";"\Samples";;;;;
FolderName;"\work";"work";;;;;
FolderPath;"\work";"\work";;;;;
FolderName;"\work\aaa";"aaa";;;;;
FolderPath;"\work\aaa";"\work\aaa";;;;;
FolderName;"\work\aaa - Copy";"aaa - Copy";;;;;
FolderPath;"\work\aaa - Copy";"\work\aaa - Copy";;;;;
FolderName;"\work\aaa - Copy (10)";"aaa - Copy (10)";;;;;
FolderPath;"\work\aaa - Copy (10)";"\work\aaa - Copy (10)";;;;;
FolderName;"\work\aaa - Copy (11)";"aaa - Copy (11)";;;;;
FolderPath;"\work\aaa - Copy (11)";"\work\aaa - Copy (11)";;;;;
FolderName;"\work\aaa - Copy (12)";"aaa - Copy (12)";;;;;
FolderPath;"\work\aaa - Copy (12)";"\work\aaa - Copy (12)";;;;;
FolderName;"\work\aaa - Copy (13)";"aaa - Copy (13)";;;;;
FolderPath;"\work\aaa - Copy (13)";"\work\aaa - Copy (13)";;;;;
FolderName;"\work\aaa - Copy (13) - Copy";"aaa - Copy (13) - Copy";;;;;
FolderPath;"\work\aaa - Copy (13) - Copy";"\work\aaa - Copy (13) - Copy";;;;;
FolderName;"\work\aaa - Copy (14) - Copy";"aaa - Copy (14) - Copy";;;;;
FolderPath;"\work\aaa - Copy (14) - Copy";"\work\aaa - Copy (14) - Copy";;;;;
FolderName;"\work\aaa - Copy (15) - Copy";"aaa - Copy (15) - Copy";;;;;
FolderPath;"\work\aaa - Copy (15) - Copy";"\work\aaa - Copy (15) - Copy";;;;;
FolderName;"\work\aaa - Copy (16) - Copy";"aaa - Copy (16) - Copy";;;;;
FolderPath;"\work\aaa - Copy (16) - Copy";"\work\aaa - Copy (16) - Copy";;;;;
FolderName;"\work\aaa - Copy (17) - Copy";"aaa - Copy (17) - Copy";;;;;
FolderPath;"\work\aaa - Copy (17) - Copy";"\work\aaa - Copy (17) - Copy";;;;;
FolderName;"\work\aaa - Copy (18) - Copy";"aaa - Copy (18) - Copy";;;;;
FolderPath;"\work\aaa - Copy (18) - Copy";"\work\aaa - Copy (18) - Copy";;;;;
FolderName;"\work\aaa - Copy (19) - Copy";"aaa - Copy (19) - Copy";;;;;
FolderPath;"\work\aaa - Copy (19) - Copy";"\work\aaa - Copy (19) - Copy";;;;;
FolderName;"\work\aaa - Copy (2)";"aaa - Copy (2)";;;;;
FolderPath;"\work\aaa - Copy (2)";"\work\aaa - Copy (2)";;;;;
FolderName;"\work\aaa - Copy (20) - Copy";"aaa - Copy (20) - Copy";;;;;
FolderPath;"\work\aaa - Copy (20) - Copy";"\work\aaa - Copy (20) - Copy";;;;;
FolderName;"\work\aaa - Copy (21) - Copy";"aaa - Copy (21) - Copy";;;;;
FolderPath;"\work\aaa - Copy (21) - Copy";"\work\aaa - Copy (21) - Copy";;;;;
FolderName;"\work\aaa - Copy (22) - Copy";"aaa - Copy (22) - Copy";;;;;
FolderPath;"\work\aaa - Copy (22) - Copy";"\work\aaa - Copy (22) - Copy";;;;;
FolderName;"\work\aaa - Copy (23) - Copy";"aaa - Copy (23) - Copy";;;;;
FolderPath;"\work\aaa - Copy (23) - Copy";"\work\aaa - Copy (23) - Copy";;;;;
FolderName;"\work\aaa - Copy (3)";"aaa - Copy (3)";;;;;
FolderPath;"\work\aaa - Copy (3)";"\work\aaa - Copy (3)";;;;;
FolderName;"\work\aaa - Copy (4)";"aaa - Copy (4)";;;;;
FolderPath;"\work\aaa - Copy (4)";"\work\aaa - Copy (4)";;;;;
FolderName;"\work\aaa - Copy (5)";"aaa - Copy (5)";;;;;
FolderPath;"\work\aaa - Copy (5)";"\work\aaa - Copy (5)";;;;;
FolderName;"\work\aaa - Copy (6)";"aaa - Copy (6)";;;;;
FolderPath;"\work\aaa - Copy (6)";"\work\aaa - Copy (6)";;;;;
FolderName;"\work\aaa - Copy (7)";"aaa - Copy (7)";;;;;
FolderPath;"\work\aaa - Copy (7)";"\work\aaa - Copy (7)";;;;;
FolderName;"\work\aaa - Copy (8)";"aaa - Copy (8)";;;;;
FolderPath;"\work\aaa - Copy (8)";"\work\aaa - Copy (8)";;;;;
FolderName;"\work\aaa - Copy (9)";"aaa - Copy (9)";;;;;
FolderPath;"\work\aaa - Copy (9)";"\work\aaa - Copy (9)";;;;;
FolderName;"\work\bbb";"bbb";;;;;
FolderPath;"\work\bbb";"\work\bbb";;;;;
FolderName;"\work\HIS2";"HIS2";;;;;
FolderPath;"\work\HIS2";"\work\HIS2";;;;;
FolderName;"\work\HIS2\BPO";"BPO";;;;;
FolderPath;"\work\HIS2\BPO";"\work\HIS2\BPO";;;;;
FolderName;"\work\HIS2\called reports";"called reports";;;;;
FolderPath;"\work\HIS2\called reports";"\work\HIS2\called reports";;;;;
FolderName;"\work\HIS2\Centralised";"Centralised";;;;;
FolderPath;"\work\HIS2\Centralised";"\work\HIS2\Centralised";;;;;
FolderName;"\work\HIS2\Clients";"Clients";;;;;
FolderPath;"\work\HIS2\Clients";"\work\HIS2\Clients";;;;;
FolderName;"\work\HIS2\Compliance";"Compliance";;;;;
FolderPath;"\work\HIS2\Compliance";"\work\HIS2\Compliance";;;;;
FolderName;"\work\HIS2\Comptabilité";"Comptabilité";;;;;
FolderPath;"\work\HIS2\Comptabilité";"\work\HIS2\Comptabilité";;;;;
FolderName;"\work\HIS2\EAM";"EAM";;;;;
FolderPath;"\work\HIS2\EAM";"\work\HIS2\EAM";;;;;
FolderName;"\work\HIS2\Gestion";"Gestion";;;;;
FolderPath;"\work\HIS2\Gestion";"\work\HIS2\Gestion";;;;;
FolderName;"\work\HIS2\Global";"Global";;;;;
FolderPath;"\work\HIS2\Global";"\work\HIS2\Global";;;;;
FolderName;"\work\HIS2\Masses";"Masses";;;;;
FolderPath;"\work\HIS2\Masses";"\work\HIS2\Masses";;;;;
FolderName;"\work\HIS2\Mid Office";"Mid Office";;;;;
FolderPath;"\work\HIS2\Mid Office";"\work\HIS2\Mid Office";;;;;
FolderName;"\work\HIS2\Mid Office Cash";"Mid Office Cash";;;;;
FolderPath;"\work\HIS2\Mid Office Cash";"\work\HIS2\Mid Office Cash";;;;;
FolderName;"\work\HIS2\Mouvements";"Mouvements";;;;;
FolderPath;"\work\HIS2\Mouvements";"\work\HIS2\Mouvements";;;;;
FolderName;"\work\HIS2\Performances";"Performances";;;;;
FolderPath;"\work\HIS2\Performances";"\work\HIS2\Performances";;;;;
FolderName;"\work\HIS2\Positions";"Positions";;;;;
FolderPath;"\work\HIS2\Positions";"\work\HIS2\Positions";;;;;
FolderName;"\work\HIS2\Published";"Published";;;;;
FolderPath;"\work\HIS2\Published";"\work\HIS2\Published";;;;;
FolderName;"\work\HIS2\PWC";"PWC";;;;;
FolderPath;"\work\HIS2\PWC";"\work\HIS2\PWC";;;;;
FolderName;"\work\HIS2\Risques";"Risques";;;;;
FolderPath;"\work\HIS2\Risques";"\work\HIS2\Risques";;;;;
FolderName;"\work\HIS2\Schedules";"Schedules";;;;;
FolderPath;"\work\HIS2\Schedules";"\work\HIS2\Schedules";;;;;
FolderName;"\work\HIS2\Schedules\BH";"BH";;;;;
FolderPath;"\work\HIS2\Schedules\BH";"\work\HIS2\Schedules\BH";;;;;
FolderName;"\work\HIS2\Schedules\Clients-EAM";"Clients-EAM";;;;;
FolderPath;"\work\HIS2\Schedules\Clients-EAM";"\work\HIS2\Schedules\Clients-EAM";;;;;
FolderName;"\work\HIS2\Trading";"Trading";;;;;
FolderPath;"\work\HIS2\Trading";"\work\HIS2\Trading";;;;;
FolderName;"\work\migData";"migData";;;;;
FolderPath;"\work\migData";"\work\migData";;;;;
FileName;"\Dashboard - Sales.srex";"Dashboard - Sales";;;;;
FileName;"\Search - Orders.srex";"Search - Orders";;;;;
FileName;"\Samples\01-Simple list (Products).srex";"01-Simple list (Products)";;;;;
FileName;"\Samples\02-Restrictions (Orders).srex";"02-Restrictions (Orders)";;;;;
FileName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"03-Cross tab - Simple chart (Orders)";;;;;
FileName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"04-Chart Line with focus with a time Axis (Sales)";;;;;
FileName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"04-Chart Stacked Area with a time Axis (Sales)";;;;;
FileName;"\Samples\04-Chart with a splitter (Sales).srex";"04-Chart with a splitter (Sales)";;;;;
FileName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"04-Microsoft Chart with 2 series and a splitter (Sales)";;;;;
FileName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"05-CSS Positioning - Charts and tables (Sales)";;;;;
FileName;"\Samples\06-Tab Control (Sales).srex";"06-Tab Control (Sales)";;;;;
FileName;"\Samples\07-Outputs and schedules.srex";"07-Outputs and schedules";;;;;
FileName;"\Samples\20-SQL Server Temp Tables.srex";"20-SQL Server Temp Tables";;;;;
FileName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"21-SQL Server Stored Procedure with parameters";;;;;
FileName;"\Samples\30-Task Refresh Enumerated Lists.srex";"30-Task Refresh Enumerated Lists";;;;;
FileName;"\Samples\31-Task Backup SQLServer Database.srex";"31-Task Backup SQLServer Database";;;;;
FileName;"\Samples\32-Task Load Excel Table in SQLServer Database.srex";"32-Task Load Excel Table in SQLServer Database";;;;;
FileName;"\Samples\33-Task Load Table in SQLServer Database.srex";"33-Task Load Table in SQLServer Database";;;;;
FileName;"\Samples\34-Task Generate several Report Results.srex";"34-Task Generate several Report Results";;;;;
FileName;"\Samples\40-No SQL Source - Hard Disks.srex";"40-No SQL Source - Hard Disks";;;;;
FileName;"\Samples\41-No SQL Source - XML Google API.srex";"41-No SQL Source - XML Google API";;;;;
FileName;"\Samples\42-No SQL Source RSS.srex";"42-No SQL Source RSS";;;;;
FileName;"\Samples\43-SQL Source with XML Google API.srex";"43-SQL Source with XML Google API";;;;;
FileName;"\Samples\50-Cell Script - Progression and running totals.srex";"50-Cell Script - Progression and running totals";;;;;
FileName;"\Samples\51-User input - Connection and threshold.srex";"51-User input - Connection and threshold";;;;;
FileName;"\Samples\52-User input - Select columns to display.srex";"52-User input - Select columns to display";;;;;
FileName;"\Samples\53-Init Script - Set default restriction values.srex";"53-Init Script - Set default restriction values";;;;;
FileName;"\Samples\54-Final Script - Change result table.srex";"54-Final Script - Change result table";;;;;
FileName;"\Samples\Charts Gallery - Advanced.srex";"Charts Gallery - Advanced";;;;;
FileName;"\Samples\Charts Gallery - Basics.srex";"Charts Gallery - Basics";;;;;
FileName;"\work\01-Simple list (Products) 2.csv";"01-Simple list (Products) 2";;;;;
FileName;"\work\01-Simple list (Products) 2.htm";"01-Simple list (Products) 2";;;;;
FileName;"\work\01-Simple list (Products) 2.srex";"01-Simple list (Products) 2";;;;;
FileName;"\work\01-Simple list (Products) Error.srex";"01-Simple list (Products) Error";;;;;
FileName;"\work\01-Simple list (Products).csv";"01-Simple list (Products)";;;;;
FileName;"\work\21-SQL Server Stored Procedure2.srex";"21-SQL Server Stored Procedure2";;;;;
FileName;"\work\big sort render.srex";"big sort render";;;;;
FileName;"\work\blank.srex";"blank";;;;;
FileName;"\work\bug 97.srex";"bug 97";;;;;
FileName;"\work\bug chart MS2 34.srex";"bug chart MS2 34";;;;;
FileName;"\work\bug count2.srex";"bug count2";;;;;
FileName;"\work\bug date input.srex";"bug date input";;;;;
FileName;"\work\bug load models.srex";"bug load models";;;;;
FileName;"\work\bug pdf 46.srex";"bug pdf 46";;;;;
FileName;"\work\bug translate.srex";"bug translate";;;;;
FileName;"\work\Cell Script Samples.srex";"Cell Script Samples";;;;;
FileName;"\work\Charts Gallery Basics.srex";"Charts Gallery Basics";;;;;
FileName;"\work\Charts Gallery Basics2.srex";"Charts Gallery Basics2";;;;;
FileName;"\work\Charts Samples.srex";"Charts Samples";;;;;
FileName;"\work\Dashboard - Sales Error.srex";"Dashboard - Sales Error";;;;;
FileName;"\work\Grid1.srex";"Grid1";;;;;
FileName;"\work\mobile.srex";"mobile";;;;;
FileName;"\work\New report.srex";"New report";;;;;
FileName;"\work\Nouveau rapport.srex";"Nouveau rapport";;;;;
FileName;"\work\Simple.srex";"Simple";;;;;
FileName;"\work\test chart numeric axis.srex";"test chart numeric axis";;;;;
FileName;"\work\test chart.srex";"test chart";;;;;
FileName;"\work\test chart2.srex";"test chart2";;;;;
FileName;"\work\test date sort.srex";"test date sort";;;;;
FileName;"\work\test Excel.srex";"test Excel";;;;;
FileName;"\work\test grid layout.srex";"test grid layout";;;;;
FileName;"\work\test MSSQL et MySQL.srex";"test MSSQL et MySQL";;;;;
FileName;"\work\test scroll spy.srex";"test scroll spy";;;;;
FileName;"\work\test subtotals.htm";"test subtotals";;;;;
FileName;"\work\test subtotals.srex";"test subtotals";;;;;
FileName;"\work\test tab control.srex";"test tab control";;;;;
FileName;"\work\test tab control2.srex";"test tab control2";;;;;
FileName;"\work\test tables.srex";"test tables";;;;;
FileName;"\work\test2.srex";"test2";;;;;
FileName;"\work\aaa\dates.srex";"dates";;;;;
FileName;"\work\aaa\Nouveau rapport.srex";"Nouveau rapport";;;;;
FileName;"\work\aaa\test chart.srex";"test chart";;;;;
FileName;"\work\bbb\Charts Gallery - Advanced.srex";"Charts Gallery - Advanced";;;;;
FileName;"\work\bbb\Nouveau rapport.srex";"Nouveau rapport";;;;;
FileName;"\work\HIS2\Account Statement (Excel).srex";"Account Statement (Excel)";;;;;
FileName;"\work\HIS2\BPO\Account Statement (Excel).srex";"Account Statement (Excel)";;;;;
FileName;"\work\HIS2\BPO\Account Statement by CA (Excel).srex";"Account Statement by CA (Excel)";;;;;
FileName;"\work\HIS2\BPO\Liste apports retraits par CA (Excel).srex";"Liste apports retraits par CA (Excel)";;;;;
FileName;"\work\HIS2\called reports\Detail Client.srex";"Detail Client";;;;;
FileName;"\work\HIS2\called reports\Detail Valeur.srex";"Detail Valeur";;;;;
FileName;"\work\HIS2\called reports\Evaluation par client.srex";"Evaluation par client";;;;;
FileName;"\work\HIS2\called reports\MIS YTD by Intv.srex";"MIS YTD by Intv";;;;;
FileName;"\work\HIS2\called reports\MIS YTD detail.srex";"MIS YTD detail";;;;;
FileName;"\work\HIS2\called reports\Mouvements MIS.srex";"Mouvements MIS";;;;;
FileName;"\work\HIS2\called reports\Operation Detail.srex";"Operation Detail";;;;;
FileName;"\work\HIS2\Centralised\Liste Fonds (Excel).srex";"Liste Fonds (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Performances (OVB) CHF (Excel).srex";"Performances (OVB) CHF (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Performances (OVB) EUR (Excel).srex";"Performances (OVB) EUR (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Performances (OVB) USD (Excel).srex";"Performances (OVB) USD (Excel)";;;;;
FileName;"\work\HIS2\Centralised\PNL Report (Excel).srex";"PNL Report (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Ponderation monnaie par client (Excel).srex";"Ponderation monnaie par client (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Positions par titre (Excel).srex";"Positions par titre (Excel)";;;;;
FileName;"\work\HIS2\Centralised\Revenues on Managed Accounts (Excel).srex";"Revenues on Managed Accounts (Excel)";;;;;
FileName;"\work\HIS2\Clients\Bank Secrecy Document.srex";"Bank Secrecy Document";;;;;
FileName;"\work\HIS2\Clients\Baremes (Excel).srex";"Baremes (Excel)";;;;;
FileName;"\work\HIS2\Clients\Check Client Documents (Excel).srex";"Check Client Documents (Excel)";;;;;
FileName;"\work\HIS2\Clients\Client Documents (Excel).srex";"Client Documents (Excel)";;;;;
FileName;"\work\HIS2\Clients\Closed Accounts (Excel).srex";"Closed Accounts (Excel)";;;;;
FileName;"\work\HIS2\Clients\Evaluation par client.srex";"Evaluation par client";;;;;
FileName;"\work\HIS2\Clients\Evaluation par gérant détaillée.srex";"Evaluation par gérant détaillée";;;;;
FileName;"\work\HIS2\Clients\Evaluation par gérant.srex";"Evaluation par gérant";;;;;
FileName;"\work\HIS2\Clients\Liste clients (Excel).srex";"Liste clients (Excel)";;;;;
FileName;"\work\HIS2\Clients\Liste clients.srex";"Liste clients";;;;;
FileName;"\work\HIS2\Clients\Liste des commissions (Excel).srex";"Liste des commissions (Excel)";;;;;
FileName;"\work\HIS2\Clients\Liste des comptes cloturés (Excel).srex";"Liste des comptes cloturés (Excel)";;;;;
FileName;"\work\HIS2\Clients\Liste des comptes ouverts (Excel).srex";"Liste des comptes ouverts (Excel)";;;;;
FileName;"\work\HIS2\Clients\Ponderation monnaie par client (Excel).srex";"Ponderation monnaie par client (Excel)";;;;;
FileName;"\work\HIS2\Clients\Self Certification Form (Excel).srex";"Self Certification Form (Excel)";;;;;
FileName;"\work\HIS2\Clients\Suivi des fiches (Excel).srex";"Suivi des fiches (Excel)";;;;;
FileName;"\work\HIS2\Clients\Tax Compliance Form (Excel).srex";"Tax Compliance Form (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Comptes BHG (Excel).srex";"Comptes BHG (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Holdmails greater than 2 years (Excel).srex";"Holdmails greater than 2 years (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Mouvements (Excel).srex";"Mouvements (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Progression des ouvertures de comptes par gérant.srex";"Progression des ouvertures de comptes par gérant";;;;;
FileName;"\work\HIS2\Compliance\Relations PEP (Excel).srex";"Relations PEP (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Suivi des fiches (Excel).srex";"Suivi des fiches (Excel)";;;;;
FileName;"\work\HIS2\Compliance\Suivi des fiches.srex";"Suivi des fiches";;;;;
FileName;"\work\HIS2\Compliance\Transactions Statistics.srex";"Transactions Statistics";;;;;
FileName;"\work\HIS2\Comptabilité\Fortunes brutes détaillées (Excel).srex";"Fortunes brutes détaillées (Excel)";;;;;
FileName;"\work\HIS2\Comptabilité\Positions par titre et segment.srex";"Positions par titre et segment";;;;;
FileName;"\work\HIS2\EAM\Account Statement (Excel).srex";"Account Statement (Excel)";;;;;
FileName;"\work\HIS2\EAM\Account Statement (PDF).srex";"Account Statement (PDF)";;;;;
FileName;"\work\HIS2\EAM\Account Statement.srex";"Account Statement";;;;;
FileName;"\work\HIS2\EAM\Cash Accounts (Excel).srex";"Cash Accounts (Excel)";;;;;
FileName;"\work\HIS2\EAM\Cash Accounts (PDF).srex";"Cash Accounts (PDF)";;;;;
FileName;"\work\HIS2\EAM\Cash Accounts by Accounting Date.srex";"Cash Accounts by Accounting Date";;;;;
FileName;"\work\HIS2\EAM\Cash Accounts.srex";"Cash Accounts";;;;;
FileName;"\work\HIS2\EAM\Client Evaluation (Excel).srex";"Client Evaluation (Excel)";;;;;
FileName;"\work\HIS2\EAM\Client Evaluation.srex";"Client Evaluation";;;;;
FileName;"\work\HIS2\EAM\Portfolio Valuation Synthetic (PDF).srex";"Portfolio Valuation Synthetic (PDF)";;;;;
FileName;"\work\HIS2\EAM\Portfolio Valuation Synthetic Matrix (PDF).srex";"Portfolio Valuation Synthetic Matrix (PDF)";;;;;
FileName;"\work\HIS2\EAM\Positions by security (Excel).srex";"Positions by security (Excel)";;;;;
FileName;"\work\HIS2\EAM\Positions by security.srex";"Positions by security";;;;;
FileName;"\work\HIS2\EAM\Securities by client (Excel).srex";"Securities by client (Excel)";;;;;
FileName;"\work\HIS2\EAM\Securities by client.srex";"Securities by client";;;;;
FileName;"\work\HIS2\EAM\Security Movements (Excel).srex";"Security Movements (Excel)";;;;;
FileName;"\work\HIS2\EAM\Security Movements.srex";"Security Movements";;;;;
FileName;"\work\HIS2\EAM\Transfers (Excel).srex";"Transfers (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Comptes Courants.srex";"Comptes Courants";;;;;
FileName;"\work\HIS2\Gestion\Depots Fiduciaires avec Dépositaires (Excel).srex";"Depots Fiduciaires avec Dépositaires (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Echéances Fiduciaires (Excel).srex";"Echéances Fiduciaires (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Echéances Loans (Excel).srex";"Echéances Loans (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Frais de gestion (Excel).srex";"Frais de gestion (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Liste des débiteurs (date comptable).srex";"Liste des débiteurs (date comptable)";;;;;
FileName;"\work\HIS2\Gestion\Liste des débiteurs (date valeur).srex";"Liste des débiteurs (date valeur)";;;;;
FileName;"\work\HIS2\Gestion\Liste des fortunes (Excel).srex";"Liste des fortunes (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Liste Prévisionnelle (Excel).srex";"Liste Prévisionnelle (Excel)";;;;;
FileName;"\work\HIS2\Gestion\Suivi des soldes en compte courant (date valeur).srex";"Suivi des soldes en compte courant (date valeur)";;;;;
FileName;"\work\HIS2\Gestion\Withdrawals for European Clients.srex";"Withdrawals for European Clients";;;;;
FileName;"\work\HIS2\Gestion\Withdrawals greater than 50000 CHF semi annual.srex";"Withdrawals greater than 50000 CHF semi annual";;;;;
FileName;"\work\HIS2\Global\Positions par titre (Excel).srex";"Positions par titre (Excel)";;;;;
FileName;"\work\HIS2\Masses\Fortunes Brutes.srex";"Fortunes Brutes";;;;;
FileName;"\work\HIS2\Masses\Masse brute par segment de comptes.srex";"Masse brute par segment de comptes";;;;;
FileName;"\work\HIS2\Masses\Masse nette par gérant et catégorie.srex";"Masse nette par gérant et catégorie";;;;;
FileName;"\work\HIS2\Masses\Masse nette par gérant et nbre de clients.srex";"Masse nette par gérant et nbre de clients";;;;;
FileName;"\work\HIS2\Masses\Masse nette par responsable de compte.srex";"Masse nette par responsable de compte";;;;;
FileName;"\work\HIS2\Masses\Masse par classe actifs (prêts exclus).srex";"Masse par classe actifs (prêts exclus)";;;;;
FileName;"\work\HIS2\Masses\Masse par gérant.srex";"Masse par gérant";;;;;
FileName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Positions par gérant - EXCEL";;;;;
FileName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Progression masse annuelle des clients ouverts";;;;;
FileName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Mouvements Dépositaire (Excel)";;;;;
FileName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Mouvements et Volumes par dépositaire (Excel)";;;;;
FileName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Positions Dépositaire (Excel)";;;;;
FileName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Positions titres par dépositaire (Excel)";;;;;
FileName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Volume par dépositaire";;;;;
FileName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Volume par genre de titre";;;;;
FileName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Mouvements caisse (Excel)";;;;;
FileName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Net New Money (Excel)";;;;;
FileName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Overdrafts (Excel)";;;;;
FileName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Positions Dépositaire (Excel)";;;;;
FileName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Withdrawals for European Clients";;;;;
FileName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Withdrawals greater than 50000 CHF semi annual";;;;;
FileName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Account Statement (Excel)";;;;;
FileName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Account Statement by CA (Excel)";;;;;
FileName;"\work\HIS2\Mouvements\Account Statement.srex";"Account Statement";;;;;
FileName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Liste de mouvements de bourse (Excel)";;;;;
FileName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Historical Performances (Excel)";;;;;
FileName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Liste apports retraits et détail clients (Excel)";;;;;
FileName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Performances clients (Excel)";;;;;
FileName;"\work\HIS2\Performances\Performances clients.srex";"Performances clients";;;;;
FileName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Cash Accounts (Excel)";;;;;
FileName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Liste des valeurs (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions by Holding and Client (Excel).srex";"Positions by Holding and Client (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions Fiduciaires (Excel).srex";"Positions Fiduciaires (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions par Client (Excel).srex";"Positions par Client (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions par Client.srex";"Positions par Client";;;;;
FileName;"\work\HIS2\Positions\Positions par dépositaire.srex";"Positions par dépositaire";;;;;
FileName;"\work\HIS2\Positions\Positions par titre (Excel).srex";"Positions par titre (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions par titre et segment (Excel).srex";"Positions par titre et segment (Excel)";;;;;
FileName;"\work\HIS2\Positions\Positions par titre et segment.srex";"Positions par titre et segment";;;;;
FileName;"\work\HIS2\Positions\Positions par titre.srex";"Positions par titre";;;;;
FileName;"\work\HIS2\Positions\Positions par titres consolidés (Excel).srex";"Positions par titres consolidés (Excel)";;;;;
FileName;"\work\HIS2\Published\Index des programmes S2I.srex";"Index des programmes S2I";;;;;
FileName;"\work\HIS2\PWC\Masse par profil de gestion.srex";"Masse par profil de gestion";;;;;
FileName;"\work\HIS2\Risques\Control of Market Risks.srex";"Control of Market Risks";;;;;
FileName;"\work\HIS2\Risques\Mouvements de Bourse à Risque (Excel).srex";"Mouvements de Bourse à Risque (Excel)";;;;;
FileName;"\work\HIS2\Schedules\BH\Performances variations Risk (Excel) .srex";"Performances variations Risk (Excel) ";;;;;
FileName;"\work\HIS2\Schedules\Clients-EAM\Portfolio Valuation Synthetic (PDF) - Saturno.srex";"Portfolio Valuation Synthetic (PDF) - Saturno";;;;;
FileName;"\work\HIS2\Schedules\Clients-EAM\Portfolio Valuation Synthetic (PDF).srex";"Portfolio Valuation Synthetic (PDF)";;;;;
FileName;"\work\HIS2\Schedules\Clients-EAM\Portfolio Valuation Synthetic Matrix (PDF).srex";"Portfolio Valuation Synthetic Matrix (PDF)";;;;;
FileName;"\work\HIS2\Trading\Courtage Traders.srex";"Courtage Traders";;;;;
FileName;"\work\HIS2\Trading\Journal des opérations compte 1 (Excel).srex";"Journal des opérations compte 1 (Excel)";;;;;
FileName;"\work\HIS2\Trading\Liste de mouvements de bourse par broker (Excel).srex";"Liste de mouvements de bourse par broker (Excel)";;;;;
FileName;"\work\HIS2\Trading\Volumes par brokers.srex";"Volumes par brokers";;;;;
FileName;"\work\HIS2\Trading\Volumes par contreparties.srex";"Volumes par contreparties";;;;;
FileName;"\work\migData\copy big table.srex";"copy big table";;;;;
FileName;"\work\migData\Generate Files.srex";"Generate Files";;;;;
ReportDisplayName;"\Dashboard - Sales.srex";"Tableau de bord - Ventes";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Dashboard";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Tab Control View";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Customer country";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Container View";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart1";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart2";;;;;
